"ts","ts_end","ts_unix","ts_end_unix","ts_delta","srcip_str","srcip","dstip","srcport","ratio","bpf","ppf","dpf"
"2016-10-06 23:27:03","2016-10-06 23:28:03",1475796423000,1475796483000,60000,"50.233.89.198",854153670,-1062729170,46129,160,3689,23,2769
"2016-10-06 23:29:03","2016-10-06 23:30:03",1475796543000,1475796603000,60000,"50.233.89.198",854153670,-1062729170,48547,160,3701,23,2781
"2016-10-06 23:30:03","2016-10-06 23:31:03",1475796603000,1475796663000,60000,"50.233.89.198",854153670,-1062729170,61627,162,3573,22,2693
"2016-10-06 23:30:03","2016-10-06 23:31:03",1475796603000,1475796663000,60000,"50.233.89.198",854153670,-1062729170,42342,160,3701,23,2781
"2016-10-06 23:31:03","2016-10-06 23:33:03",1475796663000,1475796783000,120000,"50.233.89.198",854153670,-1062729170,40791,165,3637,22,2757
"2016-10-06 23:33:04","2016-10-06 23:34:03",1475796784000,1475796843000,59000,"50.233.89.198",854153670,-1062729170,62583,165,3637,22,2757
"2016-10-06 23:33:04","2016-10-06 23:34:03",1475796784000,1475796843000,59000,"50.233.89.198",854153670,-1062729170,2778,165,3637,22,2757
"2016-10-06 23:34:03","2016-10-06 23:35:03",1475796843000,1475796903000,60000,"50.233.89.198",854153670,-1062729170,44881,165,3637,22,2757
"2016-10-06 23:34:03","2016-10-06 23:35:03",1475796843000,1475796903000,60000,"50.233.89.198",854153670,-1062729170,54403,160,3701,23,2781
"2016-10-06 23:35:03","2016-10-06 23:36:03",1475796903000,1475796963000,60000,"50.233.89.198",854153670,-1062729170,50647,165,3637,22,2757
"2016-10-06 23:05:02","2016-10-06 23:06:02",1475795102000,1475795162000,60000,"50.233.89.198",854153670,-1062729170,54625,165,3637,22,2757
